,user,condition,performance,stim,uid,gls_id,bin,code
350,23,crulp,7068.0,7,23,1,2,2_7
351,23,crulp,5543.72727272727,8,23,1,2,2_8
352,24,baseline,3841.5,1,24,2,0,0_1
353,24,baseline,3377.2,2,24,2,0,0_2
354,24,baseline,3580.88888888889,3,24,2,0,0_3
355,24,baseline,2990.0,4,24,2,0,0_4
356,24,baseline,3322.83333333333,5,24,2,0,0_5
357,24,baseline,3127.66666666667,6,24,2,0,0_6
358,24,baseline,3480.66666666667,7,24,2,0,0_7
359,24,baseline,3973.8,8,24,2,0,0_8
360,24,windows,11850.5555555556,1,24,2,2,2_1
361,24,windows,10276.7272727273,2,24,2,2,2_2
362,24,windows,10310.1111111111,3,24,2,2,2_3
363,24,windows,7921.25,4,24,2,2,2_4
364,24,windows,6958.625,5,24,2,2,2_5
365,24,windows,11346.0,6,24,2,2,2_6
366,24,windows,6538.66666666667,7,24,2,2,2_7
367,24,windows,8315.72727272727,8,24,2,2,2_8
368,24,crulp,5390.1,1,24,2,3,3_1
369,24,crulp,6674.55555555556,2,24,2,3,3_2
370,24,crulp,7664.63636363636,3,24,2,3,3_3
371,24,crulp,8420.22222222222,4,24,2,3,3_4
372,24,crulp,6779.9,5,24,2,3,3_5
373,24,crulp,5030.375,6,24,2,3,3_6
374,24,crulp,5974.0,7,24,2,3,3_7
375,24,crulp,7095.4,8,24,2,3,3_8
376,24,ime,29066.4,1,24,2,1,1_1
377,24,ime,6154.625,2,24,2,1,1_2
378,24,ime,7919.4,3,24,2,1,1_3
379,24,ime,12710.8181818182,4,24,2,1,1_4
380,24,ime,8663.33333333333,5,24,2,1,1_5
381,24,ime,13070.125,6,24,2,1,1_6
382,24,ime,3877.9,7,24,2,1,1_7
383,24,ime,5120.0,8,24,2,1,1_8
384,26,baseline,4191.83333333333,1,26,0,0,0_1
385,26,baseline,4082.0,2,26,0,0,0_2
386,26,baseline,4077.44444444444,3,26,0,0,0_3
387,26,baseline,4089.6,4,26,0,0,0_4
388,26,baseline,5084.33333333333,5,26,0,0,0_5
389,26,baseline,4684.88888888889,6,26,0,0,0_6
390,26,baseline,3524.77777777778,7,26,0,0,0_7
391,26,baseline,4947.6,8,26,0,0,0_8
392,26,crulp,13605.2,1,26,0,1,1_1
393,26,crulp,11195.0,2,26,0,1,1_2
394,26,crulp,11083.4,3,26,0,1,1_3
395,26,crulp,17001.9090909091,4,26,0,1,1_4
396,26,crulp,15168.4444444444,5,26,0,1,1_5
397,26,crulp,12766.5,6,26,0,1,1_6
398,26,crulp,10326.2,7,26,0,1,1_7
